"code","cbs_code","name","authority_name","authority_name_moin","moin_code_col_a","moin_code_col_c","district","type","municipal_status","population","population_2024","socio_cluster_2021","cbs_socio_cluster","socio_rank_2021","socio_value_2021","periphery_cluster_2020","cbs_periphery_cluster","periphery_rank_2020","periphery_value_2020","education_expense_1486_tk","education_revenue_1384_tk","education_net_difference_tk","municipal_education_self_funding_rate","regular_budget_expense_40811_tk","regular_budget_revenue_40814_tk","own_revenue_1805_tk","own_revenue_share_pct","own_revenues_per_capita_nis","arnona_residential_4138_tk","arnona_residential_per_capita_nis","arnona_other_4146_tk","arnona_other_per_capita_nis","arnona_total_4162_tk","arnona_total_per_capita_nis","balancing_grant_1819_tk","balancing_grant_per_capita_nis","is_tamar_outlier","is_war_evacuated_2024","anomaly_classification","arnona_identity_valid","provenance"
"6600","6600","חולון","חולון","חולון","2773","26600","תל אביב","עירייה","עירייה","191829","191829","7","7","162","0.37123578034438","9","9","247","3.04956408875465","766423","528315","238108","31.07","1841145","1941209","1266223","65.23","6600.79","328181","1710.8","431848","2251.21","760029","3962.01","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"4000","4000","חיפה","חיפה","חיפה","2753","14000","חיפה","עירייה","עירייה","297082","297082","7","7","164","0.390612174986643","6","6","198","0.907848064704507","892236","595687","296549","33.24","3778802","3779190","2919321","77.25","9826.65","639414","2152.31","1003344","3377.33","1642758","5529.65","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"1247","1247","חריש","חריש","חריש","2914","81247","חיפה","עירייה","עירייה","41574","41574","5","5","111","-0.182033165303213","5","5","150","0.206454630254043","209140","175699","33441","15.99","416274","390156","168783","43.26","4059.82","72006","1732","11577","278.47","83583","2010.46","18153","436.64","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"6700","6700","טבריה","טבריה","טבריה","2791","36700","הצפון","עירייה","עירייה","52123","52123","3","3","55","-0.77858470780807","3","3","54","-0.561944541902721","144195","114509","29686","20.59","478850","478977","251672","52.54","4828.43","63405","1216.45","97455","1869.71","160860","3086.16","32028","614.47","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2730","2730","טייבה","טייבה","טייבה","3010","92730","המרכז","עירייה","עירייה","46870","46870","3","3","71","-0.679551234395242","6","6","199","0.923731000460152","84404","74833","9571","11.34","220465","220885","91427","41.39","1950.65","39174","835.8","10151","216.58","49325","1052.38","29886","637.64","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2720","2720","טירה","טירה","טירה","3009","92720","המרכז","עירייה","עירייה","27680","27680","5","5","104","-0.274896250644097","6","6","209","1.11240415517028","57941","48677","9264","15.99","158679","155492","67668","43.52","2444.65","22382","808.6","17444","630.2","39826","1438.8","12309","444.69","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2100","2100","טירת כרמל","טירת כרמל","טירת כרמל","2843","52100","חיפה","עירייה","עירייה","32167","32167","6","6","142","0.108314056835817","5","5","128","0.0495804846466146","108753","70944","37809","34.77","341056","341080","200956","58.92","6247.27","47570","1478.84","67104","2086.11","114674","3564.96","19166","595.83","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"8900","8900","טמרה","טמרה","טמרה","3018","98900","הצפון","עירייה","עירייה","36918","36918","3","3","56","-0.773227408708961","4","4","120","-0.0478690433078938","156271","139341","16930","10.83","316142","292012","79029","27.06","2140.66","34702","939.98","18425","499.08","53127","1439.05","30029","813.4","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"2660","2660","יבנה","יבנה","יבנה","2848","52660","המרכז","עירייה","עירייה","58090","58090","7","7","171","0.513738427359783","7","7","215","1.28102000904515","245277","176892","68385","27.88","548033","548178","323456","59.01","5568.19","105288","1812.5","136037","2341.83","241325","4154.33","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"9400","9400","יהוד-מונוסון","יהוד-מונוסון","יהוד-מונוסון","2852","59400","המרכז","עירייה","עירייה","32146","32146","7","7","206","0.962620481770494","8","8","238","2.28009918555602","90775","51607","39168","43.15","273754","278529","200588","72.02","6239.91","75549","2350.18","76130","2368.26","151679","4718.44","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"240","240","יקנעם עילית","יקנעם עילית","יקנעם עילית","2860","60240","הצפון","עירייה","עירייה","24928","24928","7","7","199","0.795086717880612","5","5","130","0.0615613343138869","125673","91762","33911","26.98","275164","272982","163347","59.84","6552.75","34455","1382.18","71068","2850.93","105523","4233.11","433","17.37","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"3000","3000","ירושלים","ירושלים","ירושלים","2752","13000","ירושלים","עירייה","עירייה","1050153","1050153","2","2","25","-1.19647773464424","9","9","250","3.49093523232998","3153868","2154459","999409","31.69","9173069","9173491","4830754","52.66","4600.05","1286937","1225.48","1404050","1337","2690987","2562.47","1107000","1054.13","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"168","168","כפר יונה","כפר יונה","כפר יונה","2857","60168","המרכז","עירייה","עירייה","29820","29820","7","7","196","0.781458473287862","6","6","201","0.937810569747549","125902","102517","23385","18.57","253294","253319","120722","47.66","4048.36","64259","2154.9","12311","412.84","76570","2567.74","7844","263.04","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"6900","6900","כפר סבא","כפר סבא","כפר סבא","2774","26900","המרכז","עירייה","עירייה","99410","99410","8","8","218","1.19214036094155","8","8","230","1.9475765315756","507753","345191","162562","32.02","1142353","1145826","754821","65.88","7593.01","231138","2325.1","241796","2432.31","472934","4757.41","0","0","False","False","TRUE_ZERO_BALANCING","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"634","634","כפר קאסם","כפר קאסם","כפר קאסם","2985","90634","המרכז","עירייה","עירייה","27996","27996","4","4","79","-0.573980426544211","7","7","219","1.438294318822","132576","105020","27556","20.79","236085","232207","83760","36.07","2991.86","24040","858.69","36541","1305.22","60581","2163.92","15537","554.97","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
"654","654","כפר קרע","כפר קרע","כפר קרע","2988","90654","חיפה","עירייה","עירייה","21066","21066","5","5","116","-0.111752450209526","5","5","154","0.242903960890722","74112","65813","8299","11.2","154738","155013","53458","34.49","2537.64","25855","1227.33","6625","314.49","32480","1541.82","17084","810.98","False","False","STANDARD","True","MOIN_AUDITED_2024_CBS_2024_STAGE4B_VERIFIED"
